seed,K,n,m,alpha,beta,G,price_term,fairness_term1,fairness_term2,objective,t,gap,status
0,4,5,20,0.0,0.5,0.13388397575251848,0.3270751488915314,0.07846797471245882,0.04885195229609751,0.011891071923811837,60.00121998786926,0.13068977014527958,time_limit
0,4,10,5,0.0,0.0,0.1589618325828564,0.46247238968607973,0.115935877066117,0.08373062434771916,0.021388071122195318,60.002147912979126,0.9967541875520932,time_limit
0,4,10,5,0.25,0.25,0.1086740577793354,0.48608296148839936,0.12354906387178259,0.02917849566254982,0.01298070162372361,60.001737117767334,0.9264817962237688,time_limit
0,4,10,5,0.5,0.0,0.0831922157895118,0.3412250382454352,0.07388662557962328,0.030598055570062455,0.006504130516222867,60.0029661655426,0.9594289112925622,time_limit
0,4,10,5,0.0,0.5,0.09925996104964781,0.4895494675252699,0.1228825663144082,0.01958437271851876,0.012174707885102696,60.00413417816162,0.9201530660878884,time_limit
0,4,10,10,0.0,0.0,0.04843000716623515,0.13857731105981105,0.0859865074561608,0.013075649196213845,0.0019203671140567632,60.00316309928894,0.30957829145823523,time_limit
0,4,10,10,0.25,0.25,0.03683554012338992,0.14005415312287658,0.07766174581530999,0.0034146883572747644,0.0013606324871852488,60.00246787071228,0.3036150986511746,time_limit
0,4,10,10,0.5,0.0,0.05945339579132007,0.1977546259394918,0.01724338834788948,0.035367086110398516,0.001992511409237933,60.00337314605713,0.5253723056299879,time_limit
0,4,10,10,0.0,0.5,0.037726875105701156,0.13972527763477985,0.08194177376132004,0.003268903901893161,0.0009815005268657218,60.00177001953125,0.1759168554169487,time_limit
0,4,10,20,0.0,0.0,0.2174335338506786,0.30093639413568046,0.05758310942040896,0.1729441170820083,0.009056271331538562,60.004400968551636,0.8000444594474396,time_limit
0,4,10,20,0.25,0.25,0.07577911869236333,0.3413960732314354,5.871747130080767e-06,0.041638043432437266,0.006260995608267402,60.0022988319397,0.9468195553825538,time_limit
0,4,10,20,0.5,0.0,0.18555550253868283,0.3042256435263026,0.03436615063259699,0.14654140052790332,0.004775291147612441,60.005061864852905,0.8692235731966063,time_limit
0,4,10,20,0.0,0.5,0.061097470530378235,0.35201786962917536,4.7487048034641284e-09,0.0258956823802845,0.006531122209883444,60.00226879119873,0.8769253122685094,time_limit
0,4,20,5,0.0,0.0,0.12243661230686409,0.2694607035699158,0.02712670988418502,0.10218189965732205,0.003630453538419702,60.00231099128723,1.0,time_limit
0,4,20,5,0.25,0.25,0.04727274509420143,0.343967244778302,0.027931111178125217,0.023091605060755027,0.0031399013788076793,60.0035879611969,1.0,time_limit
0,4,20,5,0.5,0.0,0.10018165294462525,0.2706023542460164,0.007145593455621672,0.08486513686841901,0.0018370232913162922,60.00218200683594,1.0,time_limit
0,4,20,5,0.0,0.5,0.042903072463439405,0.3788691583925784,0.053512439624468486,0.010581504637693362,0.0036445300997262797,60.003621101379395,1.0,time_limit
0,4,20,10,0.0,0.0,0.13416149881858644,0.5869639484130138,0.06380649498783689,0.08886167765097652,0.017226333836829758,60.004672050476074,1.0,time_limit
0,4,20,10,0.25,0.25,0.05608750587815112,0.4516472330104038,0.06129074505966192,0.018182457962715448,0.0054170657359133585,60.005433082580566,1.0000000000000204,time_limit
0,4,20,10,0.5,0.0,0.10267480572415887,0.3870575335703798,0.0401584681627828,0.07328231200494417,0.0039469261779872976,60.002357006073,1.0000000000000282,time_limit
0,4,20,10,0.0,0.5,0.04898057908272092,0.4548556241614378,0.06132179374419765,0.010907349438599612,0.005231826106670139,60.004430055618286,1.0,time_limit
0,4,20,20,0.0,0.0,0.14603451731295225,0.9852374644969214,0.3486747521540941,0.00960395604958264,0.048534643072416124,60.007771015167236,1.0000000000000058,time_limit
0,4,20,20,0.25,0.25,0.11371807407659228,1.6289551203458155,0.129081272237206,0.0,0.06737874303016975,60.00751996040344,1.0000000000000033,time_limit
0,4,20,20,0.5,0.0,0.08713126543147359,1.2048807917364404,0.10754890337860627,0.0,0.03773928888462838,60.00667095184326,1.0000000000000058,time_limit
0,4,20,20,0.0,0.5,0.09991012302166197,0.8503920001996239,0.17053583843869405,0.014756563402007261,0.018188041931806658,60.00524592399597,1.0000000000000122,time_limit
0,8,5,5,0.0,0.0,0.04702579336978585,0.17159191101848217,0.07631636620858367,0.0031678653900164555,0.005888756785394941,60.00316905975342,0.013436661592094268,time_limit
0,8,5,5,0.25,0.25,0.04401169572326929,0.17184828031453667,0.07213905701973222,0.0006246575328954229,0.0031159070548302135,60.005021810531616,0.011725859984506742,time_limit
0,8,5,5,0.5,0.0,0.04326903013932384,0.17211079646102048,0.07077496677695794,0.0,0.003275281120987151,60.00346612930298,0.010557824257720852,time_limit
0,8,5,5,0.0,0.5,0.04496643823867135,0.17162227481052328,0.0757001750233709,0.0011794613986453317,0.0029461160857093245,60.00233006477356,0.009829600352994674,time_limit
0,8,5,10,0.0,0.0,0.3120773037999496,0.6447221989679313,0.37726637463642665,0.13597456717681,0.08313334276840895,60.00263500213623,0.000202829729769098,time_limit
0,8,5,10,0.25,0.25,0.21797797907374628,0.6542811506685628,0.3509972403897975,0.043247093891308985,0.04712593090581796,60.00204300880432,0.001022598293173289,time_limit
