seed,K,m,n,size,alpha,beta,dd_face1_time,dd_face1_status,dd_face2_time,dd_face2_status,hybrid_time,hybrid_status,objective,G,price_term,fairness_term1,fairness_term2
0,4,10,5,small,0.0,0.5,0.5865950584411621,optimal,1.8083457946777344,optimal,0.0010302066802978516,optimal,0.004062087562371559,0.0915564880826069,0.19556671678660487,0.12260313638328017,0.02179236062946588
0,4,10,10,big,0.0,0.0,50.0075318813324,time_limit,10.002325057983398,time_limit,0.001628875732421875,optimal,0.018263538095709377,0.13533496018878072,0.42735860931668823,0.19010585530756846,0.045072635430219776
0,4,10,10,big,0.25,0.25,50.0047869682312,time_limit,10.007292985916138,time_limit,0.001981019973754883,optimal,0.014485415936207675,0.11190173826043558,0.5107237830067111,0.1435527018981935,0.024941184485216095
0,4,10,10,big,0.5,0.0,50.00679588317871,time_limit,1.371175765991211,optimal,0.001806020736694336,optimal,0.025430428753382788,0.12582102755508504,0.7008373057678219,0.08351202527003244,0.03485929066079474
0,4,10,10,big,0.0,0.5,50.006871938705444,time_limit,10.00398302078247,time_limit,0.0016160011291503906,optimal,0.013265770138651305,0.1085426888648583,0.5111462062949516,0.14926394355365322,0.020112082346949833
0,4,10,20,big,0.0,0.0,50.00819277763367,time_limit,0.051718950271606445,optimal,0.0017671585083007812,optimal,0.02245732662479099,0.05839826977078984,0.6701839542213912,0.09955628823888112,0.0
0,4,10,20,big,0.25,0.25,50.008492946624756,time_limit,1.6131808757781982,optimal,0.0037789344787597656,optimal,0.005417065733627229,0.056087413109726605,0.45164728141837274,0.061290702363284266,0.0181823734479869
0,4,10,20,big,0.5,0.0,50.00879502296448,time_limit,10.0065598487854,time_limit,0.0028829574584960938,optimal,0.003946926177027274,0.10267436949896326,0.38705731390256437,0.0401588915076666,0.0732817809269184
0,4,10,20,big,0.0,0.5,50.00880002975464,time_limit,0.0509641170501709,optimal,0.0022079944610595703,optimal,0.005231835333607621,0.04885423347316989,0.4549153718401574,0.06130226731813511,0.010782898051628242
0,4,20,5,small,0.0,0.0,1.2706959247589111,optimal,2.187243938446045,optimal,0.0008499622344970703,optimal,0.020672388797545165,0.15775383305565077,0.3214995240863131,0.0746051880759308,0.07480263121940545
0,4,20,5,small,0.25,0.25,3.36783504486084,optimal,3.4125289916992188,optimal,0.0023229122161865234,optimal,0.011702701671963377,0.1305552916201998,0.3294993443939144,0.06284125194452024,0.048945109755286875
0,4,20,5,small,0.5,0.0,1.5304150581359863,optimal,3.3503880500793457,optimal,0.0018770694732666016,optimal,0.01100869322830618,0.1583115431898254,0.3238650221264376,0.06448801269137629,0.07741653559169381
0,4,20,5,small,0.0,0.5,1.5310800075531006,optimal,2.760298013687134,optimal,0.001962900161743164,optimal,0.011614083130113678,0.11911717452572784,0.33212034427305726,0.07410455408520536,0.03416696714981504
0,4,20,10,big,0.0,0.0,50.00619411468506,time_limit,4.523998975753784,optimal,0.0012400150299072266,optimal,0.009056275548176335,0.21743362085854134,0.3009364641942936,0.05758322297252499,0.17294416869598073
0,4,20,10,big,0.25,0.25,50.00601816177368,time_limit,4.215780019760132,optimal,0.00191497802734375,optimal,0.030466677115234295,0.12954289524766488,0.77346575979372,0.030833678624531267,0.04448789961216004
0,4,20,10,big,0.5,0.0,50.00915002822876,time_limit,2.39808988571167,optimal,0.0020339488983154297,optimal,0.004775361831789964,0.18549693901457692,0.30423341570151624,0.03434685083897905,0.14648688473468052
0,4,20,10,big,0.0,0.5,50.009602069854736,time_limit,1.9765510559082031,optimal,0.002215862274169922,optimal,0.006531122637263726,0.0610974914281171,0.35201787645291,5.669838142944564e-08,0.025895689608230743
0,4,20,20,big,0.0,0.0,50.009597063064575,time_limit,10.004653930664062,time_limit,0.0028569698333740234,optimal,0.040658400550207606,0.0986416346740189,0.9017582885696988,0.21421488098213584,0.0
0,4,20,20,big,0.25,0.25,50.015690088272095,time_limit,10.003696918487549,time_limit,0.005060911178588867,optimal,0.023956360661485702,0.10871136950334809,0.8908073445708073,0.25668400909923084,0.0
0,4,20,20,big,0.5,0.0,50.01272702217102,time_limit,10.005021095275879,time_limit,0.004163980484008789,optimal,0.02318073506218059,0.10092074520708594,0.9531492229583838,0.061214314112065155,0.03795970553115047
